Code article,Designation,Taille,Famille,Protections,Doublure,Matière,État,Indications pour description
052515M83,DAINESE L/52,L,Pantalon Homme,Genoux,"Oui, amovible",Textile,Bon état,"pantalon impermeable et toute saison grace a sa doublure amovible,"
052520M69,REVIT ARC AIR LADIES - S/38,S,Blouson et Veste Femme,"Coudes et épaules, et emplacement dorsale",Non,Textile,Très bon état,"Grille de ventilation 3D sur la couche extérieure : ce tissu tricoté a une structure tridimensionnelle ouverte qui assure une bonne ventilation pendant la conduite. La combinaison appropriée de polyester 600D résistant à l'abrasion et de matériaux PWR / Mesh , ainsi que des panneaux ventilés sur le haut du corps, garantissent une excellente gestion de l'usure.température corporelle pendant les voyages pendant les saisons estivales ."
052520M78,DAINESE D1 G1 - M,M,Protection et Accessoire,Catégorie 1,,,Neuf sans étiquette,"Best-seller parmi les protections pour le dos, à insérer dans la poche des vestes Dainese.Protection dorsale avec structure interne en polypropylène extrudé Nidaplast"
052528M84,IXON DRACO - M,M,Blouson et Veste Homme,"Coudes et épaules, et emplacement dorsale",Non,Textile,Excellent état,Larges panneaux en mesh 3D sur le devant et dans le dos optimisant la respirabilité.Pattes de serrage anti-battement aux bras permettant de limiter le flottement et offrant un réglage optimisé.Protections coudes et épaules homologuées CE de niveau 2.
052535M70,ALPINESTARS T GP  PLUS R AIR - M,M,Blouson et Veste Homme,"Coudes et épaules, et emplacement dorsale",Non,Textile,Très bon état,"Veste aérée 100% sportive hautement résistante et bourrée de protections certifiées CE, la veste T-GP Plus R Air est conçue pour vous maintenir ultra-cool et à l'aise pendant vos sorties urbaines. Une pratique fermeture éclair tout au long de la taille garantit le raccordement sûr et précis entre la veste et les pantalons Alpinestars pour une excellente couverture de la tête aux pieds. "
052535M72,SEGURA LADY JONES - M/T2,M,Blouson et Veste Femme,"Coudes et épaules, et emplacement dorsale","Oui, amovible",Cuir,Bon état,"Blouson en cuir Segura Jones Lady Noir / Blanc. Blouson en cuir de style vintage conçu spécifiquement pour femme. Comprend doublure thermique démontable, doublure fixe intérieure en maille, plusieurs poches et protections aux épaules et les coudes avec certification CE. Fabriqué en cuir de buffle avec des panneaux en cuir de bovin."
052540M76,SEGURA TUCKER XL,XL,Blouson et Veste Homme,"Coudes et épaules, et emplacement dorsale","Oui, amovible",Cuir,"Très bon état, cependant pression rabat cassé","Véritable remake du blouson Flight, le Tucker reprend tous les détails du célèbre blouson des pilotes américains de la seconde guerre. Chic et sobre tout en respectant les normes techniques pour une utilisation moto journalière."
052540M82,ALPINESTARS GUNNER V2 WP - L,L,Blouson et Veste Femme,"Coudes et épaules, et emplacement dorsale","Oui, amovible",Textile,Excellent état,"Avec un tissu résistant à l'abrasion dans des positions stratégiques intégré à sa coque principale en poly-tissu avancé, la veste Gunner v2 Waterproof est hautement résistante à la déchirure et à l'abrasion. Dotée d'une membrane imperméable, d'une doublure en micro polaire et de ventilations à fermeture éclair, la Gunner v2 Waterproof est adaptée à une large gamme de conditions météorologiques. Avec une protection interne de premier ordre et la possibilité de la mettre à niveau avec la protection de poitrine et de dos Nucleon certifiée CE d'Alpinestars, la Gunner est idéale pour la conduite urbaine."
052545M65,ALPINESTARS T GP PLUS R V2 - XS,XS,Blouson et Veste Femme,"Coudes et épaules, et emplacement dorsale",Non,textile,Excellent état,"Blouson en cuir Alpinestars Gp Plus R V2 Noir / Blanc. Blouson sportif fabriqué en cuir de première qualité; se distingue par son confort, sa protection et son design. Comprend insertions élastiques placées stratégiquement, protections certifiées Ce aux épaules et les coudes, sliders avec recouvrement en peau sur les épaules et deux entrées d'air pratiques."
052545M71,JOHN DOE S / W27L34,S,Pantalon Femme,Genoux,Non,Textile/Jean,Excellent état,"Jean moto AAA, excellente resistance a l abrasion,"
052548M74,ALPINESTARS T-JAWS WP - XL,XL,Blouson et Veste Homme,"Coudes et épaules, et emplacement dorsale","Oui, amovible",Textile,Excellent état,idéale pour les motards aimant la conduite sportive ou sur route et voulant de meilleures performances en termes de protection. La T-Jaws est non seulement robuste et endurante mais elle est aussi extrêmement polyvalente car elle s’adapte à de nombreuses conditions climatiques différentes. Elle intègre une membrane étanche et une doublure thermique amovible.
052550M64,ALPINESTARS RX 3 WP - M,M,Pantalon Homme,"Coudes et épaules, et emplacement dorsale",Non,Textile,Excellent état,Confectionné en tissu doux Cordura® Ripstop et en tissu technique résistant à l'abrasion.Membrane imperméable et respirante.Jambes pré-courbées pour réduire la fatigue.
052550M66,FURYGAN NITROS - XXL/50-52,XXL,Blouson et Veste Homme,"Coudes et épaules, et emplacement dorsale","Oui, amovible",Cuir,Neuf sans étiquette,"blouson Nitros racing sobre conçu en cuir de vachette. Un modèle qui dispose d’une doublure thermique amovible qui va vous protéger contre le froid. Toujours côté sécurité, le Nitros de la gamme Furygan dispose de protections D30 certifiées CE aux coudes et aux épaules. Mais aussi deux poches supplémentaires pouvant vous servir d’ajouter des protections additionnelles pour le dos et au niveau pectoral. Aussi, le blouson Furygan Nitros est compatible avec le Fury Air Bag System. Autrement dit, il s’agit du blouson moto parfait pour rouler sur les pistes."
